link,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield ,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
/funds/bcri11,BCRI11,Títulos e Val. Mob.,"R$ 131,09",2936.0,"R$ 0,89","0,68%","2,16%","4,49%","10,13%","0,72%","0,75%","0,84%","5,39%","1,04%","1,73%","24,05%","R$ 178.992.623,94","R$ 103,46","1,27","0,86%","2,24%","3,11%","7,91%",N/A,N/A,0
/funds/bnfs11,BNFS11,Outros,"R$ 128,50",292.0,"R$ 0,91","0,69%","2,21%","4,34%","8,39%","0,74%","0,72%","0,70%","4,93%","9,02%","9,76%","5,04%","R$ 63.985.198,32","R$ 91,41","1,41","1,03%","0,03%","1,06%","3,61%",N/A,N/A,18
/funds/bbfi11b,BBFI11B,Lajes Corporativas,"R$ 2.580,00",121.0,"R$ 24,35","0,93%","2,74%","5,92%","13,24%","0,91%","0,99%","1,10%","7,00%","-8,87%","-8,03%","17,98%","R$ 399.460.620,55","R$ 3.072,77","0,84","0,79%","0,03%","0,83%","5,21%","38,59%",N/A,2
/funds/bbpo11,BBPO11,Lajes Corporativas,"R$ 151,48",22529.0,"R$ 1,02","0,69%","2,11%","4,30%","8,86%","0,70%","0,72%","0,74%","5,03%","2,41%","3,11%","12,39%","R$ 1.636.606.380,03","R$ 102,80","1,47","1,00%","-0,08%","0,91%","6,91%","0,00%",N/A,64
/funds/bbrc11,BBRC11,Outros,"R$ 132,15",854.0,"R$ 0,92","0,68%","2,04%","4,07%","8,10%","0,68%","0,68%","0,68%","4,73%","-0,44%","0,24%","1,90%","R$ 163.741.756,51","R$ 102,98","1,28","0,89%","0,03%","0,92%","7,87%",N/A,N/A,20
/funds/rndp11,RNDP11,Títulos e Val. Mob.,"R$ 958,68",14.0,"R$ 5,68","0,60%","1,68%","3,30%","6,47%","0,56%","0,55%","0,54%","3,79%","1,18%","1,78%","2,13%","R$ 115.717.204,13","R$ 1.076,63","0,89","0,53%","0,28%","0,81%","3,81%",N/A,N/A,0
/funds/bcia11,BCIA11,Títulos e Val. Mob.,"R$ 135,18",586.0,"R$ 0,85","0,66%","2,23%","4,24%","8,12%","0,74%","0,71%","0,68%","4,88%","7,08%","7,79%","24,62%","R$ 210.077.257,70","R$ 124,33","1,09","0,68%","0,15%","0,84%","8,05%",N/A,N/A,0
/funds/care11,CARE11,Híbrido,"R$ 1,38",356696.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 252.144.373,27","R$ 1,44","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/cxri11,CXRI11,Híbrido,"R$ 1.092,00",33.0,"R$ 7,00","0,65%","2,00%","4,05%","8,58%","0,67%","0,67%","0,72%","4,71%","2,66%","3,33%","6,79%","R$ 174.198.273,87","R$ 1.105,49","0,99","0,63%","0,94%","1,58%","7,40%",N/A,N/A,0
/funds/cpts11b,CPTS11B,Títulos e Val. Mob.,"R$ 109,00",6687.0,"R$ 0,75","0,67%","2,18%","4,14%","9,04%","0,73%","0,69%","0,75%","4,77%","6,47%","7,19%","14,30%","R$ 154.151.774,49","R$ 97,70","1,12","0,77%","0,11%","0,88%","6,09%",N/A,N/A,0
/funds/cbop11,CBOP11,Lajes Corporativas,"R$ 80,89",1837.0,"R$ 0,52","0,64%","2,01%","3,99%","7,96%","0,67%","0,66%","0,66%","4,63%","10,98%","11,69%","16,19%","R$ 111.610.318,03","R$ 78,88","1,03","0,66%","0,01%","0,67%","4,63%","6,87%","6,91%",1
/funds/hgbs11,HGBS11,Shoppings,"R$ 241,10",42872.0,"R$ 1,40","0,56%","1,87%","3,53%","7,05%","0,62%","0,59%","0,59%","4,12%","-2,71%","-2,17%","9,61%","R$ 1.500.285.924,01","R$ 223,30","1,08","0,90%","-0,07%","0,83%","3,77%","5,46%",N/A,10
/funds/grlv11,GRLV11,Logística,"R$ 118,50",172.0,"R$ 0,64","0,54%","2,04%","3,75%","7,88%","0,68%","0,63%","0,66%","4,31%","4,85%","5,41%","27,47%","R$ 116.769.475,78","R$ 108,77","1,09","0,59%","-0,01%","0,58%","1,73%","9,10%","10,00%",1
/funds/hglg11,HGLG11,Logística,"R$ 151,39",25678.0,"R$ 0,75","0,47%","1,46%","2,89%","6,25%","0,49%","0,48%","0,52%","3,41%","7,61%","8,12%","13,67%","R$ 1.510.735.871,91","R$ 127,14","1,19","0,59%","4,87%","5,49%","9,67%","6,50%","9,70%",14
/funds/hgre11,HGRE11,Lajes Corporativas,"R$ 159,52",15719.0,"R$ 0,74","0,45%","1,38%","2,83%","6,03%","0,46%","0,47%","0,50%","3,34%","3,24%","3,70%","18,05%","R$ 1.123.112.863,31","R$ 152,12","1,05","0,49%","0,48%","0,97%","3,66%","18,94%","18,81%",20
/funds/hgcr11,HGCR11,Títulos e Val. Mob.,"R$ 117,08",9491.0,"R$ 0,74","0,64%","1,88%","3,76%","8,06%","0,63%","0,63%","0,67%","4,38%","-3,09%","-2,47%","1,96%","R$ 615.631.228,49","R$ 105,14","1,11","0,70%","0,22%","0,93%","5,26%",N/A,N/A,0
/funds/foft11,FOFT11,Títulos e Val. Mob.,"R$ 93,35",3809.0,"R$ 0,53","0,55%","2,17%","3,95%","8,03%","0,72%","0,66%","0,67%","4,51%","-1,03%","-0,48%","6,21%","R$ 119.313.791,01","R$ 99,76","0,94","0,85%","0,68%","1,54%","8,84%",N/A,N/A,0
/funds/tfof11,TFOF11,Títulos e Val. Mob.,"R$ 144,50",42.0,"R$ 0,95","0,64%","4,78%","7,80%","13,86%","1,59%","1,30%","1,16%","8,26%","5,10%","5,77%","23,56%","R$ 107.882.973,84","R$ 126,84","1,14","3,15%","-1,25%","1,86%","5,74%",N/A,N/A,0
/funds/domc11,DOMC11,Lajes Corporativas,"R$ 550,00",49.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 241.914.555,17","R$ 989,91","0,56",N/A,N/A,N/A,N/A,"23,44%",N/A,1
/funds/fixx11,FIXX11,Títulos e Val. Mob.,"R$ 84,70",80.0,"R$ 0,02","0,02%","0,99%","2,95%","6,38%","0,33%","0,49%","0,53%","3,50%","5,35%","5,37%","8,85%","R$ 34.962.039,99","R$ 95,53","0,89","0,43%","1,61%","2,05%","7,27%",N/A,N/A,0
/funds/vrta11,VRTA11,Títulos e Val. Mob.,"R$ 124,35",28190.0,"R$ 0,94","0,61%","2,04%","4,28%","9,68%","0,68%","0,71%","0,81%","5,11%","3,53%","4,17%","30,19%","R$ 232.035.217,25","R$ 103,50","1,20","0,91%","0,73%","1,64%","8,62%",N/A,N/A,0
/funds/brcr11,BRCR11,Híbrido,"R$ 96,17",44396.0,"R$ 0,40","0,41%","1,29%","2,87%","14,63%","0,43%","0,48%","1,22%","13,21%","-1,03%","-0,62%","-13,23%","R$ 2.135.066.733,60","R$ 111,06","0,87",N/A,N/A,N/A,N/A,"15,90%","10,50%",11
/funds/famb11b,FAMB11B,Lajes Corporativas,"R$ 2.910,00",152.0,"R$ 28,98","0,97%","2,95%","6,79%","15,67%","0,98%","1,13%","1,31%","7,86%","-6,08%","-5,17%","34,93%","R$ 338.826.126,58","R$ 3.233,07","0,90","0,92%","0,40%","1,32%","7,88%","0,00%",N/A,1
/funds/nvho11,NVHO11,Hospital,"R$ 24,20",36.0,"R$ 0,06","0,21%","0,60%","1,16%","2,26%","0,20%","0,19%","0,19%","1,35%","-10,33%","-10,14%","-9,02%","R$ 298.468.561,91","R$ 7,19","3,36","0,82%","-0,01%","0,80%","5,07%",N/A,N/A,1
/funds/pqdp11,PQDP11,Shoppings,"R$ 3.102,51",42.0,"R$ 12,95","0,38%","1,34%","2,69%","5,63%","0,45%","0,45%","0,47%","2,69%","7,10%","7,50%","15,51%","R$ 701.946.131,82","R$ 2.943,45","1,05",N/A,N/A,N/A,N/A,"3,30%",N/A,1
/funds/prsv11,PRSV11,Lajes Corporativas,"R$ 450,00",221.0,"R$ 1,96","0,43%","1,31%","3,07%","6,05%","0,44%","0,51%","0,50%","3,61%","-0,02%","0,41%","37,00%","R$ 79.332.314,35","R$ 406,83","1,11","0,48%","0,00%","0,48%","3,46%","8,81%",N/A,2
/funds/tbof11,TBOF11,Lajes Corporativas,"R$ 88,10",4671.0,"R$ 0,38","0,45%","1,43%","2,12%","3,86%","0,48%","0,35%","0,32%","2,12%","-0,57%","-0,13%","2,56%","R$ 879.523.406,56","R$ 87,51","1,01","0,43%","0,01%","0,44%","2,24%","23,50%",N/A,1
/funds/vlol11,VLOL11,Lajes Corporativas,"R$ 105,94",3564.0,"R$ 0,39","0,38%","1,23%","2,39%","4,77%","0,41%","0,40%","0,40%","2,78%","1,87%","2,26%","10,19%","R$ 152.329.696,02","R$ 85,35","1,24","0,45%","0,02%","0,48%","3,22%","7,00%",N/A,1
/funds/bbvj11,BBVJ11,Lajes Corporativas,"R$ 66,55",3111.0,"R$ 0,33","0,61%","0,74%","0,94%","0,96%","0,25%","0,16%","0,08%","0,96%","19,24%","19,96%","-9,15%","R$ 156.836.211,70","R$ 57,87","1,15",N/A,N/A,N/A,N/A,"66,79%",N/A,1
/funds/bmlc11b,BMLC11B,Lajes Corporativas,"R$ 91,50",1202.0,"R$ 0,33","0,35%","1,27%","2,64%","5,70%","0,42%","0,44%","0,48%","3,19%","5,11%","5,49%","22,44%","R$ 93.167.131,58","R$ 93,32","0,98","0,36%","0,03%","0,39%","2,57%","21,00%",N/A,2
/funds/bpff11,BPFF11,Títulos e Val. Mob.,"R$ 104,50",9619.0,"R$ 0,70","0,66%","2,26%","4,24%","8,19%","0,75%","0,71%","0,68%","4,86%","10,96%","11,70%","14,43%","R$ 261.546.567,64","R$ 98,00","1,07","0,71%","-0,21%","0,50%","6,91%",N/A,N/A,0
/funds/cxce11b,CXCE11B,Outros,"R$ 2.292,00",10.0,"R$ 19,36","0,83%","2,38%","4,95%","10,24%","0,79%","0,83%","0,85%","5,81%","-8,67%","-7,91%","9,24%","R$ 144.758.935,16","R$ 2.112,71","1,08","0,92%","0,05%","0,97%","6,02%",N/A,N/A,1
/funds/cxtl11,CXTL11,Logística,"R$ 382,00",8.0,"R$ 1,01","0,26%","0,78%","1,19%","1,68%","0,26%","0,20%","0,14%","1,51%","-2,64%","-2,39%","-18,96%","R$ 37.843.906,83","R$ 706,08","0,54","0,14%","-0,04%","0,10%","0,96%",N/A,N/A,4
/funds/ctxt11,CTXT11,Lajes Corporativas,"R$ 56,40",102.0,"R$ 0,37","0,61%","1,74%","3,67%","7,71%","0,58%","0,61%","0,64%","4,34%","-0,75%","-0,14%","11,43%","R$ 123.274.925,37","R$ 47,52","1,19","0,78%","-0,05%","0,73%","1.378,71%","8,60%",N/A,1
/funds/flma11,FLMA11,Híbrido,"R$ 4,30",84766.0,"R$ 0,02","0,38%","1,22%","2,49%","5,76%","0,41%","0,41%","0,48%","2,94%","16,57%","17,02%","48,83%","R$ 199.827.076,48","R$ 2,89","1,49","0,55%","-0,02%","0,54%","2,69%","5,49%",N/A,1
/funds/edfo11b,EDFO11B,Lajes Corporativas,"R$ 300,00",63.0,"R$ 1,92","0,62%","1,80%","3,57%","7,36%","0,60%","0,59%","0,61%","4,20%","3,32%","3,96%","13,42%","R$ 43.816.478,47","R$ 185,66","1,62","0,99%","0,11%","1,09%","6,43%","6,96%",N/A,1
/funds/euro11,EURO11,Logística,"R$ 167,00",115.0,"R$ 0,60","0,36%","1,10%","2,15%","5,18%","0,37%","0,36%","0,43%","2,61%","4,97%","5,35%","6,19%","R$ 122.614.539,65","R$ 319,36","0,52","0,19%","-0,01%","0,18%","1,12%","31,85%",N/A,6
/funds/figs11,FIGS11,Shoppings,"R$ 66,01",5484.0,"R$ 0,27","0,42%","1,20%","4,58%","12,00%","0,40%","0,76%","1,00%","5,97%","-7,97%","-7,58%","13,55%","R$ 247.441.495,37","R$ 95,48","0,69","0,28%","-0,35%","-0,07%","2,95%","9,86%",N/A,2
/funds/abcp11,ABCP11,Shoppings,"R$ 88,95",22766.0,"R$ 0,45","0,44%","1,27%","2,57%","5,88%","0,42%","0,43%","0,49%","3,27%","-6,47%","-6,06%","21,86%","R$ 906.569.092,31","R$ 74,29","1,20","0,61%","0,07%","0,68%","420,66%","1,30%",N/A,1
/funds/fiib11,FIIB11,Híbrido,"R$ 522,00",771.0,"R$ 2,67","0,51%","1,67%","3,45%","7,32%","0,56%","0,57%","0,61%","3,45%","12,04%","12,62%","23,31%","R$ 266.544.575,22","R$ 389,12","1,34",N/A,N/A,N/A,N/A,"4,92%",N/A,1
/funds/fmof11,FMOF11,Lajes Corporativas,"R$ 84,60",7.0,"R$ 0,45","0,53%","0,53%","0,53%","3,17%","0,18%","0,09%","0,26%","0,53%","0,02%","0,55%","-2,90%","R$ 67.807.925,06","R$ 133,48","0,63",N/A,N/A,N/A,N/A,"45,83%",N/A,1
/funds/mbrf11,MBRF11,Outros,"R$ 1.178,00",52.0,"R$ 8,50","0,69%","2,03%","4,16%","8,69%","0,68%","0,69%","0,72%","4,87%","-4,33%","-3,67%","15,25%","R$ 120.002.770,01","R$ 1.180,39","1,00","0,72%","0,02%","0,74%","5,23%","0,00%",N/A,2
/funds/paby11,PABY11,Híbrido,"R$ 26,45",785.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ 191.755.254,65","R$ 252,84","0,10",N/A,N/A,N/A,N/A,N/A,N/A,1
