link,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield ,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
/funds/bcri11,BCRI11,Títulos e Val. Mob.,"R$ 130,50",2017.0,"R$ 0,89","0,68%","2,16%","4,49%","10,13%","0,72%","0,75%","0,84%","5,39%","1,04%","1,73%","24,05%","R$ 122.454.064,23","R$ 101,20","1,29","0,95%","1,22%","2,18%","4,65%",N/A,N/A,0
/funds/bnfs11,BNFS11,Outros,"R$ 131,10",74.0,"R$ 0,91","0,69%","2,21%","4,34%","8,39%","0,74%","0,72%","0,70%","4,93%","9,02%","9,76%","5,04%","R$ 63.985.198,32","R$ 91,41","1,43","1,03%","0,03%","1,06%","3,61%",N/A,N/A,18
/funds/bbfi11b,BBFI11B,Lajes Corporativas,"R$ 2.553,02",81.0,"R$ 24,35","0,93%","2,74%","5,92%","13,24%","0,91%","0,99%","1,10%","7,00%","-8,87%","-8,03%","17,98%","R$ 399.460.620,55","R$ 3.072,77","0,83","0,79%","0,03%","0,83%","5,21%","38,59%",N/A,2
/funds/bbpo11,BBPO11,Lajes Corporativas,"R$ 149,50",25154.0,"R$ 1,02","0,69%","2,11%","4,30%","8,86%","0,70%","0,72%","0,74%","5,03%","2,41%","3,11%","12,39%","R$ 1.636.606.380,03","R$ 102,80","1,45","1,00%","-0,08%","0,91%","6,91%","0,00%",N/A,64
/funds/bbrc11,BBRC11,Outros,"R$ 133,23",1869.0,"R$ 0,92","0,68%","2,04%","4,07%","8,10%","0,68%","0,68%","0,68%","4,73%","-0,44%","0,24%","1,90%","R$ 163.741.756,51","R$ 102,98","1,29","0,89%","0,03%","0,92%","7,87%",N/A,N/A,20
/funds/rndp11,RNDP11,Títulos e Val. Mob.,"R$ 958,60",26.0,"R$ 5,68","0,60%","1,68%","3,30%","6,47%","0,56%","0,55%","0,54%","3,79%","1,18%","1,78%","2,13%","R$ 115.717.204,13","R$ 1.076,63","0,89","0,53%","0,28%","0,81%","3,81%",N/A,N/A,0
/funds/bcia11,BCIA11,Títulos e Val. Mob.,"R$ 130,31",440.0,"R$ 0,85","0,66%","2,23%","4,24%","8,12%","0,74%","0,71%","0,68%","4,88%","7,08%","7,79%","24,62%","R$ 210.077.257,70","R$ 124,33","1,05","0,68%","0,15%","0,84%","8,05%",N/A,N/A,0
/funds/care11,CARE11,Híbrido,"R$ 1,34",30252.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 252.144.373,27","R$ 1,44","0,93",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/cxri11,CXRI11,Híbrido,"R$ 1.095,00",69.0,"R$ 7,00","0,65%","2,00%","4,05%","8,58%","0,67%","0,67%","0,72%","4,71%","2,66%","3,33%","6,79%","R$ 174.198.273,87","R$ 1.105,49","0,99","0,63%","0,94%","1,58%","7,40%",N/A,N/A,0
/funds/cpts11b,CPTS11B,Títulos e Val. Mob.,"R$ 112,00",3857.0,"R$ 0,75","0,67%","2,18%","4,14%","9,04%","0,73%","0,69%","0,75%","4,77%","6,47%","7,19%","14,30%","R$ 153.975.376,21","R$ 97,59","1,15","0,82%","0,14%","0,96%","5,16%",N/A,N/A,0
